"","ID","week","tumor_vol","block","treat"
"325","481-1",2,0.07,"OB","WM"
"326","481-1",3,0,"OB","WM"
"327","481-1",4,0,"OB","WM"
"328","481-1",5,0,"OB","WM"
"329","481-1",6,0,"OB","WM"
"330","481-1",7,0,"OB","WM"
"331","481-1",8,0,"OB","WM"
"332","481-2",0,0.94,"OB","WM"
"333","481-2",1,0.48,"OB","WM"
"334","481-2",2,0.29,"OB","WM"
"335","481-2",3,0.31,"OB","WM"
"336","481-2",4,0.61,"OB","WM"
"337","481-2",5,0.34,"OB","WM"
"338","481-2",6,0.68,"OB","WM"
"339","481-2",7,1.53,"OB","WM"
"340","481-2",8,2.64,"OB","WM"
"341","481-3",0,0.39,"OB","WM"
"342","481-3",1,0.37,"OB","WM"
"343","481-3",2,0.24,"OB","WM"
"344","481-3",3,0.01,"OB","WM"
"345","481-3",4,0.01,"OB","WM"
"346","481-3",5,0,"OB","WM"
"347","481-3",6,0.01,"OB","WM"
"348","481-3",7,0.01,"OB","WM"
"349","481-3",8,0,"OB","WM"
"350","481-4",0,0,"OB","WM"
"351","481-4",1,0,"OB","WM"
"352","481-4",2,0,"OB","WM"
"353","481-4",3,0,"OB","WM"
"354","481-4",4,0,"OB","WM"
"355","481-4",5,0.01,"OB","WM"
"356","481-4",6,0.01,"OB","WM"
"357","481-4",7,0.01,"OB","WM"
"358","481-4",8,0.01,"OB","WM"
"359","483-1",0,4.61,"OB","AdLib"
"360","483-1",1,1.37,"OB","AdLib"
"361","483-1",2,0.83,"OB","AdLib"
"362","483-1",3,0.35,"OB","AdLib"
"363","483-1",4,0.42,"OB","AdLib"
"364","483-1",5,0.11,"OB","AdLib"
"365","483-1",6,0.24,"OB","AdLib"
"366","483-1",7,0.17,"OB","AdLib"
"367","483-1",8,0.17,"OB","AdLib"
"368","483-2",0,4.34,"OB","AdLib"
"369","483-2",1,1.7,"OB","AdLib"
"370","483-2",2,0.71,"OB","AdLib"
"371","483-2",3,0.41,"OB","AdLib"
"372","483-2",4,0.41,"OB","AdLib"
"373","483-2",5,0.28,"OB","AdLib"
"374","483-2",6,0.26,"OB","AdLib"
"375","483-2",7,0.35,"OB","AdLib"
"376","483-2",8,0.12,"OB","AdLib"
"377","484-1",0,0.27,"OB","AdLib"
"378","484-1",1,0,"OB","AdLib"
"379","484-1",2,0,"OB","AdLib"
"380","484-1",3,0.03,"OB","AdLib"
"381","484-1",4,0,"OB","AdLib"
"382","484-1",5,0,"OB","AdLib"
"383","484-1",6,0,"OB","AdLib"
"384","484-1",7,0,"OB","AdLib"
"385","484-1",8,0.02,"OB","AdLib"
"386","484-2",0,0,"OB","AdLib"
"387","484-2",1,0,"OB","AdLib"
"388","484-2",2,0.07,"OB","AdLib"
"389","484-2",3,0.71,"OB","AdLib"
"390","484-2",4,0.21,"OB","AdLib"
"391","484-2",5,0.33,"OB","AdLib"
"392","484-2",6,0.6,"OB","AdLib"
"393","484-2",7,0.29,"OB","AdLib"
"394","484-2",8,0.42,"OB","AdLib"
"395","484-3",0,0.96,"OB","AdLib"
"396","484-3",1,0.7,"OB","AdLib"
"397","484-3",2,0.6,"OB","AdLib"
"398","484-3",3,0.26,"OB","AdLib"
"399","484-3",4,0.15,"OB","AdLib"
"400","484-3",5,0.14,"OB","AdLib"
"401","484-3",6,0.08,"OB","AdLib"
"402","484-3",7,0.15,"OB","AdLib"
"403","484-3",8,0.14,"OB","AdLib"
"404","484-4",0,0.55,"OB","AdLib"
"405","484-4",1,0.46,"OB","AdLib"
"406","484-4",2,0.47,"OB","AdLib"
"407","484-4",3,1.59,"OB","AdLib"
"408","484-4",4,1.68,"OB","AdLib"
"409","484-4",5,1.63,"OB","AdLib"
"410","484-4",6,2.75,"OB","AdLib"
"411","484-4",7,4.7,"OB","AdLib"
"412","484-4",8,4.37,"OB","AdLib"
"413","489-1",0,1.14,"OB","AdLib"
"414","489-1",1,0.42,"OB","AdLib"
"415","489-1",2,0.2,"OB","AdLib"
"416","489-1",3,0.34,"OB","AdLib"
"417","489-1",4,0.15,"OB","AdLib"
"418","489-1",5,0.2,"OB","AdLib"
"419","489-1",6,0.13,"OB","AdLib"
"420","489-1",7,0.14,"OB","AdLib"
"421","489-1",8,0.12,"OB","AdLib"
"422","489-2",0,0.73,"OB","AdLib"
"423","489-2",1,0,"OB","AdLib"
"424","489-2",2,0,"OB","AdLib"
"425","489-2",3,0,"OB","AdLib"
"426","489-2",4,0,"OB","AdLib"
"427","489-2",5,0,"OB","AdLib"
"428","489-2",6,0,"OB","AdLib"
"429","489-2",7,0,"OB","AdLib"
"430","489-2",8,0,"OB","AdLib"
"431","490-1",0,0.49,"OB","WM"
"432","490-1",1,0.27,"OB","WM"
"433","490-1",2,0.12,"OB","WM"
"434","490-1",3,0,"OB","WM"
"435","490-1",4,0,"OB","WM"
"436","490-1",5,0,"OB","WM"
"437","490-1",6,0,"OB","WM"
"438","490-1",7,0,"OB","WM"
"439","490-1",8,0,"OB","WM"
"440","490-2",0,0.04,"OB","WM"
"441","490-2",1,0.06,"OB","WM"
"442","490-2",2,0.01,"OB","WM"
"443","490-2",3,0,"OB","WM"
"444","490-2",4,0,"OB","WM"
"445","490-2",5,0,"OB","WM"
"446","490-2",6,0,"OB","WM"
"447","490-2",7,0.06,"OB","WM"
"448","490-2",8,0.22,"OB","WM"
"449","490-3",0,2.57,"OB","WM"
"450","490-3",1,1.63,"OB","WM"
"451","490-3",2,0.97,"OB","WM"
"452","490-3",3,1.11,"OB","WM"
"453","490-3",4,0.77,"OB","WM"
"454","490-3",5,0.93,"OB","WM"
"455","490-3",6,2.9,"OB","WM"
"456","490-3",7,2.49,"OB","WM"
"457","490-3",8,3.08,"OB","WM"
"458","492-1",0,5.71,"L","AdLib"
"459","492-1",1,6.99,"L","AdLib"
"460","492-1",2,6.13,"L","AdLib"
"461","492-1",3,4.88,"L","AdLib"
"462","492-1",4,2.97,"L","AdLib"
"463","492-1",5,1.99,"L","AdLib"
"464","492-1",6,1.2,"L","AdLib"
"465","492-1",7,1.87,"L","AdLib"
"466","492-1",8,1.85,"L","AdLib"
"467","492-2",0,0,"L","AdLib"
"468","492-2",1,0,"L","AdLib"
"469","492-2",2,0,"L","AdLib"
"470","492-2",3,0,"L","AdLib"
"471","492-2",4,0,"L","AdLib"
"472","492-2",5,0,"L","AdLib"
"473","492-2",6,0,"L","AdLib"
"474","492-2",7,1.39,"L","AdLib"
"475","492-2",8,3.65,"L","AdLib"
"476","496-2",0,0.22,"OB","AdLib"
"477","496-2",1,0.41,"OB","AdLib"
"478","496-2",2,0.19,"OB","AdLib"
"479","496-2",3,0.52,"OB","AdLib"
"480","496-2",4,0.8,"OB","AdLib"
"481","496-2",5,0.9,"OB","AdLib"
"482","496-2",6,1.02,"OB","AdLib"
"483","496-2",7,1.44,"OB","AdLib"
"484","496-2",8,2.09,"OB","AdLib"
"485","496-3",0,0.26,"OB","AdLib"
"486","496-3",1,0.26,"OB","AdLib"
"487","496-3",2,0.12,"OB","AdLib"
"488","496-3",3,0.13,"OB","AdLib"
"489","496-3",4,0.07,"OB","AdLib"
"490","496-3",5,0.19,"OB","AdLib"
"491","496-3",6,0.09,"OB","AdLib"
"492","496-3",7,0.16,"OB","AdLib"
"493","496-3",8,0.14,"OB","AdLib"
"494","496-4",0,0.25,"OB","AdLib"
"495","496-4",1,0.02,"OB","AdLib"
"496","496-4",2,0.11,"OB","AdLib"
"497","496-4",3,0.18,"OB","AdLib"
"498","496-4",4,0.17,"OB","AdLib"
"499","496-4",5,0.31,"OB","AdLib"
"500","496-4",6,0.42,"OB","AdLib"
"501","496-4",7,0.52,"OB","AdLib"
"502","496-4",8,0.53,"OB","AdLib"
"503","496-6",0,0.49,"OB","AdLib"
